sl_ticks,tp_ticks,rr,max_holding_bars,direction,nc,trades_per_day,wr_used_mid_bracket,wr_bracket_width,pass_rate_15d,blow_rate,avg_days_to_pass,combines_por_ano,costo_esperado_por_combine
40,20,0.5,130,always_long,50,1,0.6597,0.0137,0.7228,0.2772,3.82,47.69,67.8
40,20,0.5,30,alternate,50,1,0.6595,0.0137,0.7221,0.2779,3.82,47.64,67.86
40,20,0.5,45,always_long,50,1,0.6593,0.0137,0.722,0.278,3.82,47.62,67.87
50,25,0.5,100,always_long,40,1,0.6579,0.0068,0.72,0.28,3.82,47.44,68.06
50,25,0.5,66,always_long,40,1,0.6578,0.0068,0.7199,0.2801,3.82,47.43,68.07
50,25,0.5,30,alternate,50,1,0.6495,0.0071,0.7441,0.2559,3.95,47.43,65.85
50,25,0.5,130,always_long,40,1,0.6577,0.0068,0.7198,0.2802,3.82,47.42,68.08
50,25,0.5,45,always_long,40,1,0.6554,0.0068,0.7165,0.2835,3.83,47.13,68.39
50,12,0.24,130,always_short,50,2,0.8084,0.0125,0.717,0.283,3.84,47.09,68.34
50,12,0.24,130,always_short,40,2,0.8084,0.0125,0.717,0.283,3.84,47.09,68.34
40,20,0.5,30,always_long,50,1,0.6551,0.0134,0.7159,0.2841,3.83,47.08,68.45
50,12,0.24,100,always_short,50,2,0.8083,0.0125,0.7169,0.2831,3.84,47.07,68.35
50,12,0.24,100,always_short,40,2,0.8083,0.0125,0.7169,0.2831,3.84,47.07,68.35
50,12,0.24,66,always_short,50,2,0.8083,0.0125,0.7169,0.2831,3.84,47.07,68.35
50,12,0.24,66,always_short,40,2,0.8083,0.0125,0.7169,0.2831,3.84,47.07,68.35
50,25,0.5,30,always_short,40,1,0.6549,0.0075,0.7151,0.2849,3.83,47.03,68.52
50,25,0.5,30,always_long,50,1,0.6441,0.0068,0.7369,0.2631,3.97,46.83,66.5
50,12,0.24,45,always_short,50,2,0.8069,0.0125,0.713,0.287,3.84,46.78,68.72
50,12,0.24,45,always_short,40,2,0.8069,0.0125,0.713,0.287,3.84,46.78,68.72
50,25,0.5,30,alternate,40,1,0.6495,0.0071,0.7065,0.2935,3.84,46.31,69.36
50,12,0.24,100,alternate,50,2,0.8034,0.0134,0.705,0.295,3.85,46.11,69.5
50,12,0.24,100,alternate,40,2,0.8034,0.0134,0.705,0.295,3.85,46.11,69.5
50,12,0.24,130,alternate,40,2,0.8034,0.0134,0.7049,0.2951,3.85,46.1,69.52
50,12,0.24,66,alternate,40,2,0.8034,0.0134,0.7049,0.2951,3.85,46.1,69.52
50,12,0.24,130,alternate,50,2,0.8034,0.0134,0.7049,0.2951,3.85,46.1,69.52
50,12,0.24,66,alternate,50,2,0.8034,0.0134,0.7049,0.2951,3.85,46.1,69.52
50,12,0.24,45,alternate,40,2,0.8026,0.0134,0.7025,0.2975,3.85,45.92,69.75
50,12,0.24,45,alternate,50,2,0.8026,0.0134,0.7025,0.2975,3.85,45.92,69.75
50,12,0.24,30,always_short,50,2,0.8021,0.0125,0.7015,0.2985,3.86,45.84,69.85
50,12,0.24,30,always_short,40,2,0.8021,0.0125,0.7015,0.2985,3.86,45.84,69.85
50,25,0.5,30,always_long,40,1,0.6441,0.0068,0.6991,0.3009,3.86,45.7,70.09
50,12,0.24,30,alternate,50,2,0.7992,0.0133,0.693,0.307,3.87,45.18,70.71
50,12,0.24,30,alternate,40,2,0.7992,0.0133,0.693,0.307,3.87,45.18,70.71
40,10,0.25,130,always_short,50,2,0.7988,0.024,0.692,0.308,3.87,45.08,70.81
40,10,0.25,100,always_short,50,2,0.7988,0.024,0.6919,0.3081,3.87,45.08,70.82
40,10,0.25,66,always_short,50,2,0.7987,0.024,0.6919,0.3081,3.87,45.07,70.82
50,12,0.24,100,always_long,50,2,0.7985,0.0143,0.6917,0.3083,3.87,45.06,70.83
50,12,0.24,66,always_long,50,2,0.7985,0.0143,0.6917,0.3083,3.87,45.06,70.83
40,10,0.25,45,always_short,50,2,0.7986,0.024,0.6917,0.3083,3.87,45.06,70.83
50,12,0.24,100,always_long,40,2,0.7985,0.0143,0.6917,0.3083,3.87,45.06,70.83
50,12,0.24,66,always_long,40,2,0.7985,0.0143,0.6917,0.3083,3.87,45.06,70.83
50,12,0.24,130,always_long,40,2,0.7984,0.0144,0.6915,0.3085,3.87,45.03,70.86
50,12,0.24,130,always_long,50,2,0.7984,0.0144,0.6915,0.3085,3.87,45.03,70.86
50,12,0.24,45,always_long,50,2,0.7984,0.0143,0.6913,0.3088,3.87,45.02,70.89
50,12,0.24,45,always_long,40,2,0.7984,0.0143,0.6913,0.3088,3.87,45.02,70.89
50,12,0.24,30,always_long,40,2,0.7963,0.0142,0.6846,0.3154,3.88,44.5,71.57
50,12,0.24,30,always_long,50,2,0.7963,0.0142,0.6846,0.3154,3.88,44.5,71.57
40,10,0.25,30,always_short,50,2,0.7957,0.024,0.6833,0.3167,3.88,44.37,71.72
40,10,0.25,100,alternate,50,2,0.7945,0.0251,0.6801,0.3199,3.88,44.16,72.05
40,10,0.25,66,alternate,50,2,0.7945,0.025,0.6801,0.3199,3.88,44.16,72.05
40,10,0.25,130,alternate,50,2,0.7945,0.0251,0.6801,0.3199,3.88,44.16,72.05
40,10,0.25,45,alternate,50,2,0.7944,0.025,0.68,0.32,3.88,44.15,72.06
50,15,0.3,130,always_short,50,1,0.773,0.0109,0.8289,0.1711,4.77,43.78,59.12
